IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
BLP_INFRA_GEOREP.246,ADAP,,BF,25- 45,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.251,ADAP,,BF,26-  10,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.252,ADAP,,BF,26-  10,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.2,ADAP,,BF,26-  4,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.3,ADAP,,BF,26-  4,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.4,ADAP,,BF,26-  7,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.227,ADAP,,BF,26-  9,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.5,ADAP,,BF,26- 10,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.6,ADAP,,BF,26- 10,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.7,ADAP,,BF,26- 22,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.8,ADAP,,TUBE,26- 22,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.228,ADAP,,BF,26- 25,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.229,ADAP,,TUBE,26- 25,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.253,OBS,1086.734,BF,28-  1,a,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.254,OBS,1075.703,BF,28-  1,b,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.255,OBS,1084.898,RBpm SOCLE ANTENNE,28-  1,c,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.256,OBS,1086.466,BF,28-  1,d,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.257,OBS,1130.825,ANTENNE AXE SOMMET,28-  1,e,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.259,OBS,1082.721,ANTENNE SUD AXE BASE,28-  1,g,BLP_INFRA_GEODESIE,RRNC
BLP_INFRA_GEOREP.9,ADAP,,BF,28- 19,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.10,ADAP,,TUBE,28- 19,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.247,ADAP,,BF,28- 24,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.248,ADAP,,CROIX SUR ROCHER,28- 24,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.249,ADAP,,RB SUR ROCHER,28- 24,b,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.11,ADAP,,BF,28- 27,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.12,ADAP,,RB SUR ROCHER,28- 27,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.13,OBS,272.303,BF,28- 28,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.14,ADAP,,TUBE,28- 28,a,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.15,ADAP,,BF,28- 29,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.16,ADAP,,RB SUR ROCHER,28- 29,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.17,ADAP,,CROIX SUR ROCHER,28- 29,b,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.18,ADAP,,TAS DE PIERRES,28- 29,c,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.19,OBS,90.417,BF,28- 30,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.20,ADAP,,TUBE,28- 30,a,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.21,OBS,271.902,BF,28- 32,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.22,ADAP,,TUBE,28- 32,a,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.23,ADAP,,TUBE,28- 32,b,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.24,OBS,229.812,BF,28- 34,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.25,ADAP,,TUBE,28- 34,b,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.26,OBS,147.493,BF,28- 35,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.27,ADAP,,CROIX SUR ROCHER,28- 35,a,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.28,ADAP,,RBGM SUR ROCHER,28- 35,b,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.29,ADAP,,BF,28- 36,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.30,ADAP,,TUBE,28- 36,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.31,ADAP,,BF,28- 38,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.32,ADAP,,BF,28- 38,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.33,ADAP,,RB SUR ROCHER,28- 38,b,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.34,ADAP,,BF,28- 39,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.35,ADAP,,BF,28- 39,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.36,ADAP,,TUBE,28- 39,b,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.37,OBS,331.367,BF,28- 40,./,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.38,ADAP,,RB SUR ROCHER,28- 40,a,BLP_INFRA_GEODESIE,RDNC
BLP_INFRA_GEOREP.39,ADAP,,BF,28- 41,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.40,ADAP,,TUBE,28- 41,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.41,ADAP,,RB SUR ROCHER,28- 41,b,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.42,ADAP,,BF,28- 42,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.43,ADAP,,TUBE,28- 42,a,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.44,ADAP,,BF,28- 43,./,BLP_INFRA_GEODESIE,
BLP_INFRA_GEOREP.45,ADAP,,RB SUR ROCHER,28- 43,a,BLP_INFRA_GEODESIE,
