IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
BLP_INFRA_GNIREP.36,OBS,78.72,,A.ab-1 bis,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.37,OBS,82.22,,A.ab-2 bis,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.38,OBS,91.36,,A.ab-3 a,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.39,OBS,84.11,,A.ab-3 bis,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.40,OBS,97.48,,A.ab-4 bis,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.41,OBS,126.35,,A.ab-5,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.42,GRA,,,A.ab-6,,BLP_INFRA_NIVELLEMENT,
BLP_INFRA_GNIREP.43,OBS,259.21,,A.ab-7,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.44,OBS,355.39,,A.ab-8,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.31,OBS,113.98,,AB-100,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.32,OBS,122.48,,AB-100 a,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.33,OBS,138.47,,AB-101,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.34,OBS,159.22,,AB-102,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.35,OBS,115.50,,AB-103,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.73,OBS,65.468,,AB-69 b,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.2,OBS,65.59,,AB-70,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.3,OBS,67.99,,AB-71,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.4,OBS,65.32,,AB-72,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.65,OBS,65.94,,AB-73 bis,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.5,GRA,,,AB-74,,BLP_INFRA_NIVELLEMENT,
BLP_INFRA_GNIREP.6,GRA,,,AB-75,,BLP_INFRA_NIVELLEMENT,
BLP_INFRA_GNIREP.7,OBS,76.6,,AB-76,,BLP_INFRA_NIVELLEMENT,RCNC
BLP_INFRA_GNIREP.74,OBS,76.958,,AB-76 a,,BLP_INFRA_NIVELLEMENT,
BLP_INFRA_GNIREP.75,OBS,82.160,,AB-77 a,,BLP_INFRA_NIVELLEMENT,
