IDENTSTF,CODE_PREC,H_ELLIP,MAT,NUMERO,INDICE,RESEAU,RATTACH
BLP_INFRA_GPOREP.74,ADAP,,,29-I  -   1,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.75,ADAP,,,29-I  -   4,b,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.5,ADAP,,,29-I  -   7,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.6,ADAP,,,29-I  -   7,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.7,ADAP,,,29-I  -   8,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.8,ADAP,,,29-I  -   8,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.9,ADAP,,,29-I  -   9,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.10,ADAP,,,29-I  -   9,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.11,ADAP,,,29-I  -  10,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.14,ADAP,,,29-I  -  12,b,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.17,ADAP,,,29-I  -  19,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.18,ADAP,,,29-I  -  19,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.25,ADAP,,,29-I  -  24,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.26,ADAP,,,29-I  -  24,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.28,ADAP,,,29-I  -  28,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.29,ADAP,,,29-I  -  28,a,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.30,ADAP,,,29-I  -  29,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.32,ADAP,,,29-I  -  31,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.33,ADAP,,,29-I  -  32,./,BLP_INFRA_POLYGONATION,
BLP_INFRA_GPOREP.34,ADAP,,,29-I  -  33,./,BLP_INFRA_POLYGONATION,
